,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
747,33,admin.,single,high.school,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
748,34,technician,married,basic.9y,0,0,0,0,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
749,36,technician,single,high.school,0,1,0,0,jul,wed,1,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,0
750,75,retired,married,university.degree,0,1,0,0,jul,thu,1,999,2,failure,-1.7,94.215,-40.3,0.81,4991.6,1
751,38,management,married,university.degree,0,0,1,0,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
754,58,blue-collar,married,professional.course,0,0,0,1,jun,fri,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
757,30,admin.,married,high.school,0,1,0,0,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
759,33,admin.,single,university.degree,0,0,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
760,36,technician,married,basic.6y,0,0,0,0,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
761,54,retired,single,high.school,0,1,0,0,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
762,29,blue-collar,single,high.school,0,1,0,0,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
763,28,admin.,single,university.degree,0,1,1,0,dec,fri,6,999,1,failure,-3,92.713,-33,0.71,5023.5,0
764,59,retired,divorced,professional.course,0,0,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
766,32,technician,single,university.degree,0,1,0,0,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
767,55,retired,divorced,professional.course,0,0,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
768,29,admin.,single,university.degree,0,0,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
769,31,technician,married,professional.course,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
770,34,technician,married,high.school,0,1,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
771,25,technician,divorced,university.degree,0,1,0,1,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
772,35,blue-collar,married,basic.9y,0,1,0,0,dec,thu,1,4,3,success,-3,92.713,-33,0.707,5023.5,0
773,49,technician,married,basic.9y,0,1,0,1,may,mon,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
775,36,admin.,married,university.degree,0,0,0,0,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
776,29,technician,single,university.degree,0,1,1,0,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
778,24,student,married,university.degree,0,0,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
779,47,admin.,single,university.degree,0,1,0,0,jun,mon,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,1
780,32,blue-collar,married,basic.4y,0,0,1,0,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
781,34,technician,single,professional.course,0,0,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
782,34,admin.,single,university.degree,0,0,0,0,may,fri,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
783,39,technician,married,professional.course,0,0,0,1,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
784,47,blue-collar,married,basic.9y,0,1,1,0,may,wed,6,999,2,failure,-1.8,92.893,-46.2,1.334,5099.1,0
785,32,technician,married,high.school,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
786,29,technician,single,university.degree,0,1,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
787,57,retired,married,university.degree,0,1,0,1,jun,fri,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
788,49,management,married,high.school,0,0,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
791,34,technician,married,professional.course,0,1,1,1,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
792,51,entrepreneur,divorced,university.degree,0,1,0,0,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
793,47,blue-collar,divorced,basic.9y,0,0,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
794,53,technician,married,professional.course,0,1,0,1,mar,mon,5,999,2,failure,-1.8,93.369,-34.8,0.646,5008.7,0
795,28,technician,married,basic.9y,0,1,0,0,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
796,27,technician,single,university.degree,0,1,0,0,oct,wed,1,999,1,failure,-1.1,94.601,-49.5,1.043,4963.6,1
797,23,admin.,single,university.degree,0,1,0,0,jul,wed,1,999,2,failure,-1.7,94.215,-40.3,0.881,4991.6,0
798,30,student,single,high.school,0,0,0,0,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,0
799,42,blue-collar,married,basic.6y,0,1,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
800,38,admin.,single,university.degree,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
801,29,admin.,married,university.degree,0,1,1,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
802,44,housemaid,married,basic.4y,0,1,0,0,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
804,45,management,single,basic.9y,0,1,0,0,nov,thu,3,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
806,28,services,married,high.school,0,1,1,1,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
807,29,technician,married,university.degree,0,1,1,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
808,28,technician,single,professional.course,0,1,0,0,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.483,5099.1,0
809,29,technician,single,professional.course,0,1,0,0,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
811,43,blue-collar,married,basic.4y,0,1,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
812,54,management,married,university.degree,0,0,1,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
813,42,admin.,married,university.degree,0,1,0,0,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
814,55,services,married,high.school,0,0,0,0,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0
817,32,admin.,married,high.school,0,0,0,0,aug,fri,8,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
818,23,admin.,single,university.degree,0,1,1,1,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
819,34,technician,married,professional.course,0,1,1,0,nov,thu,7,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
820,36,services,married,high.school,0,0,0,0,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
822,39,services,divorced,basic.9y,0,1,0,1,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
823,50,housemaid,divorced,basic.4y,0,0,0,1,sep,tue,1,999,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,0
824,30,services,single,high.school,0,1,0,0,jun,mon,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
825,27,blue-collar,married,basic.9y,0,0,1,1,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
826,32,admin.,divorced,university.degree,0,1,0,1,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
831,26,admin.,single,university.degree,0,1,0,0,sep,tue,1,999,1,failure,-1.1,94.199,-37.5,0.881,4963.6,0
832,45,admin.,single,university.degree,0,1,0,0,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
833,28,technician,married,high.school,0,0,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
834,28,blue-collar,single,basic.4y,0,1,0,1,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
835,50,technician,married,professional.course,0,0,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
836,31,blue-collar,married,basic.6y,0,1,0,1,jun,fri,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
837,34,admin.,single,university.degree,0,0,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
839,29,entrepreneur,married,basic.4y,0,0,0,0,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
840,58,admin.,married,university.degree,0,0,0,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
841,46,blue-collar,married,basic.4y,0,0,0,0,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
842,35,blue-collar,divorced,basic.9y,0,0,1,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
844,39,admin.,single,high.school,0,0,0,0,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
846,40,admin.,married,university.degree,0,1,1,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
848,25,admin.,single,university.degree,0,0,0,1,jun,mon,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
849,40,unemployed,married,professional.course,0,1,0,0,sep,fri,3,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,0
852,32,admin.,married,high.school,0,0,0,0,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
853,44,admin.,divorced,university.degree,0,0,0,1,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
854,41,admin.,married,university.degree,0,0,0,0,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1
855,30,technician,single,university.degree,0,1,1,0,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
856,27,blue-collar,single,basic.9y,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
857,41,blue-collar,married,basic.4y,0,1,0,1,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
859,54,entrepreneur,married,professional.course,0,1,1,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
860,30,blue-collar,single,professional.course,0,0,0,0,may,tue,1,999,1,failure,-1.8,93.876,-40,0.668,5008.7,0
862,42,management,married,high.school,0,0,0,0,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
863,36,services,divorced,basic.9y,0,1,0,0,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
866,38,admin.,single,professional.course,0,0,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
867,34,blue-collar,married,basic.4y,0,0,0,1,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
869,37,services,single,basic.9y,0,0,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
870,39,blue-collar,single,basic.9y,0,0,0,1,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,1
871,57,admin.,married,university.degree,0,0,0,0,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
874,52,admin.,married,high.school,0,1,0,0,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,0
875,23,technician,single,high.school,0,0,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
877,50,admin.,married,university.degree,0,0,0,0,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
878,46,technician,married,professional.course,0,0,1,1,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
880,38,management,divorced,university.degree,0,0,0,0,nov,mon,2,999,1,failure,-0.1,93.2,-42,4.191,5195.8,0
881,53,admin.,single,basic.6y,0,1,1,1,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
883,28,services,married,high.school,0,0,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
884,25,blue-collar,single,basic.9y,0,1,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
887,33,services,single,high.school,0,1,0,1,jun,thu,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
889,48,admin.,divorced,university.degree,0,0,0,0,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,1
890,45,self-employed,divorced,university.degree,0,1,1,1,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
891,24,blue-collar,married,basic.9y,0,1,0,0,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,0
892,33,blue-collar,married,basic.9y,0,1,1,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
897,29,admin.,married,university.degree,0,1,1,1,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
898,38,blue-collar,married,basic.6y,0,0,0,1,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
900,31,unemployed,married,basic.9y,0,1,0,1,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
901,34,blue-collar,married,basic.9y,0,1,0,0,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
902,38,admin.,married,university.degree,0,1,0,1,jun,tue,9,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
903,57,admin.,single,high.school,0,1,0,1,may,mon,5,12,1,success,-1.8,92.893,-46.2,1.244,5099.1,0
905,77,retired,divorced,professional.course,0,0,0,0,aug,mon,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,0
907,46,management,married,university.degree,0,0,1,0,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
908,21,student,single,high.school,0,1,1,0,jun,wed,2,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,1
909,43,management,married,university.degree,0,0,0,0,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,0
911,31,technician,married,university.degree,0,0,0,0,oct,tue,2,12,3,failure,-1.1,94.601,-49.5,0.982,4963.6,0
913,44,technician,single,university.degree,0,0,1,0,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
914,32,services,single,high.school,0,1,0,0,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
916,48,services,married,high.school,0,0,0,1,sep,tue,1,999,0,nonexistent,-1.1,94.199,-37.5,0.881,4963.6,0
917,28,blue-collar,single,basic.6y,0,0,0,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
918,36,blue-collar,married,basic.9y,0,1,1,0,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
919,52,self-employed,divorced,basic.9y,0,1,0,0,nov,thu,5,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
920,34,services,single,high.school,0,1,0,0,may,thu,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
921,37,admin.,married,high.school,0,1,0,1,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
922,25,admin.,single,university.degree,0,0,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
923,48,technician,divorced,professional.course,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
924,36,self-employed,single,professional.course,0,1,0,1,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
925,27,technician,single,professional.course,0,0,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
926,34,blue-collar,married,basic.9y,0,1,0,0,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
927,42,services,married,high.school,0,1,1,1,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
932,35,admin.,single,university.degree,0,1,0,0,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
933,31,services,divorced,high.school,0,1,1,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
934,31,blue-collar,single,basic.9y,0,1,0,1,sep,mon,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,0
935,31,blue-collar,married,basic.9y,0,0,0,1,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
937,33,management,married,university.degree,0,1,0,0,may,tue,6,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
939,34,admin.,single,high.school,0,0,0,1,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
940,41,admin.,married,basic.9y,0,1,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
941,36,blue-collar,married,basic.6y,0,1,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
943,56,management,married,basic.9y,0,1,0,1,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1
944,59,retired,married,professional.course,0,0,0,1,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
946,40,technician,married,basic.9y,0,1,0,1,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
947,38,admin.,married,university.degree,0,1,0,0,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1
948,34,admin.,married,professional.course,0,1,0,1,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
950,33,admin.,single,high.school,0,0,0,0,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
951,31,technician,single,high.school,0,1,1,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
952,29,blue-collar,divorced,basic.9y,0,1,0,0,may,wed,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
954,24,admin.,single,high.school,0,1,1,0,mar,wed,1,999,0,nonexistent,-1.8,92.843,-50,1.602,5099.1,1
955,34,admin.,single,basic.6y,0,0,0,0,may,thu,11,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
956,27,admin.,married,high.school,0,1,1,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
957,32,blue-collar,married,high.school,0,0,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
958,49,admin.,married,high.school,0,1,0,0,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
959,36,technician,divorced,basic.9y,0,0,0,1,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
961,47,services,divorced,high.school,0,1,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
964,36,technician,married,university.degree,0,1,1,1,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
965,30,technician,single,university.degree,0,1,0,0,sep,fri,2,15,4,failure,-1.1,94.199,-37.5,0.879,4963.6,1
966,32,entrepreneur,married,high.school,0,1,0,0,nov,wed,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
967,54,management,married,university.degree,0,1,0,0,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
968,51,blue-collar,married,basic.9y,0,0,1,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,1
969,28,technician,divorced,university.degree,0,1,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
970,54,management,married,university.degree,0,0,0,0,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.264,5099.1,1
972,57,admin.,married,basic.6y,0,0,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.259,5099.1,0
973,49,unemployed,married,professional.course,0,0,0,0,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0
976,53,services,married,university.degree,0,0,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
977,26,student,single,basic.9y,0,1,0,0,mar,mon,2,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,1
978,31,technician,married,university.degree,0,0,0,0,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
979,32,blue-collar,married,basic.9y,0,1,0,1,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
981,31,technician,single,high.school,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
984,26,admin.,single,university.degree,0,1,1,0,may,tue,7,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
986,56,retired,married,basic.9y,0,1,1,1,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
987,29,admin.,single,university.degree,0,1,0,0,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
988,31,technician,married,basic.9y,0,1,0,0,nov,wed,5,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
990,37,technician,married,professional.course,0,1,0,1,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0
994,35,self-employed,single,university.degree,0,0,1,0,nov,wed,1,3,1,success,-0.1,93.2,-42,4.12,5195.8,0
996,30,entrepreneur,married,high.school,0,1,0,0,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
998,36,technician,married,university.degree,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
999,46,services,married,high.school,0,0,0,1,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
1000,51,unemployed,married,basic.6y,0,0,0,0,jun,thu,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1
1001,33,technician,single,professional.course,0,1,0,0,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
1004,25,blue-collar,single,high.school,0,0,0,0,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,1
1006,54,admin.,single,university.degree,0,0,0,0,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,1
1007,50,admin.,married,basic.6y,0,1,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
1008,36,management,married,university.degree,0,1,0,0,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
1009,43,admin.,single,university.degree,0,1,0,0,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
1011,38,blue-collar,married,basic.4y,0,0,0,0,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
1012,27,admin.,single,high.school,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
1013,35,management,married,university.degree,0,1,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
1014,28,technician,single,high.school,0,1,0,0,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
1017,43,blue-collar,married,basic.6y,0,0,1,0,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
1018,34,technician,divorced,professional.course,0,1,0,0,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
1020,48,admin.,divorced,high.school,0,1,0,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
1021,35,admin.,single,high.school,0,1,1,0,may,tue,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
1022,27,admin.,single,university.degree,0,0,0,0,may,mon,1,1,1,success,-1.8,92.893,-46.2,1.299,5099.1,0
1023,25,admin.,single,high.school,0,1,0,0,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
1024,42,technician,married,professional.course,0,1,1,0,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
1025,47,admin.,divorced,university.degree,0,1,0,1,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
1026,49,entrepreneur,married,university.degree,0,1,0,0,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
1027,36,admin.,single,basic.9y,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1
1028,35,technician,married,professional.course,0,0,0,1,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
1029,29,blue-collar,married,basic.4y,0,1,0,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
1031,53,blue-collar,married,basic.6y,0,1,0,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
1032,41,admin.,married,university.degree,0,0,1,0,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
1034,31,management,married,basic.9y,0,0,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
1035,46,services,married,high.school,0,0,0,0,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
1037,43,blue-collar,single,professional.course,0,0,0,1,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
1040,21,services,single,high.school,0,1,1,0,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0
1042,54,management,married,basic.6y,0,0,0,1,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
1044,31,unemployed,married,university.degree,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
1045,50,admin.,married,university.degree,0,0,0,0,aug,tue,2,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,1
1046,48,admin.,married,university.degree,0,1,1,0,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,1
1047,26,self-employed,single,university.degree,0,1,0,0,jun,wed,2,999,0,nonexistent,-2.9,92.963,-40.8,1.244,5076.2,0
1048,37,services,single,basic.9y,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
1051,47,admin.,married,university.degree,0,1,0,0,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
1052,41,blue-collar,single,basic.9y,0,0,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
1053,32,blue-collar,single,basic.9y,0,1,0,1,jun,mon,17,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
